title_ch,title_eng,body,hsk_level,link
给中小企业的一些建议,Some suggestions for SMEs,中国的企业有很多优势，很多企业和品牌都在迅速成长。这里有一些给中小企业的建议。 首先，全球都结构性产能过剩，而市场是供大于求，因此在产业集群里要被中心化，而不是边缘化。中小企业一定要一起进入产业地区，才能迎接创新的市场变革和规模优势带来的低成本，更好地利用中国的组织优势、规模优势和成本优势。 第二，一定要获得资金支持，传统的小微企业融资难、融资贵。融资难是可以解决的，整个供应链以实际的运营来进行融资、构建信用体系让小微企业在未来有可见的成长。 第三，小微企业要善于利用能够提高劳动力效率的技术装备和工具。互联网实际上具有将差异化的供给和个性化的需求精准匹配，并形成规模的能力。 第四，中小企业的未来一定是从产品向产品加服务的转变，形成供需越来越精准的定位，全面以消费者为中心。,6,https://mandarinbean.com/some-suggestions-for-smes/
“双减”政策,“Double reduction” policy,如果你关注中国，你一定会发现最近有很多关于双减政策的新闻。这项政策在全国各地执行，对整个教育培训行业影响非常大。 双减政策主要是针对义务教育阶段内，要减轻学生作业负担和校外培训的负担。具体内容有三个方面，一是减少学科类校外培训，对校外培训机构重新审核登记，处理不符合要求的机构。二是合理利用校内外资源，鼓励学校在课外时间向学生提供兴趣类课后服务活动，让学生自主选择参加。三是强化培训收费监管，明确收费标准，限制过高的不合理收费。 很多城市已经在执行这项政策，公布了一些教育培训违规行为的典型案例，有的机构直接被关停，有的教师被调离岗位……处罚相当严厉。除了规范校外教育培训机构，也需要学校和社区更好地履行教育职责，家长要转变家庭教育理念，尊重孩子的成长规律。期待能在大家的努力下，形成良性的教育生态，让孩子们拥有身心健康发展的环境。,5,https://mandarinbean.com/double-reduction-policy/
中秋节饮食,Mid-autumn festival food,中秋节是中国的传统节日，既有美丽的传说，又有团圆的美好意义，还有月饼、茶、酒等美食。 很多人过中秋节马上会想到月饼。这是中秋节赏月必备的美食和家人团聚的象征。传统月饼也不断地在创新，不仅包装设计上创意不断，还推出了很多新奇的口味。现在不但有传统的五仁月饼、蛋黄月饼等，现在还有酸奶月饼、茶月饼、冰激凌月饼等，口味都很独特。 中国有久远的酒文化，中秋节这样重要的节日，酒更是必不可少。古人会把桂花、菊花等秋季的花放入酒中，有家乡味道的白酒更受喜爱。不喝酒的人就会喝花茶或者果茶，配上月饼更有中秋节的感觉。,6,https://mandarinbean.com/mid-autumn-festival-food/
北京麦当劳叔叔之家,Beijing Uncle McDonald’s House,北京第一个麦当劳叔叔之家正式启用了。这是由中国宋庆龄基金会麦当劳叔叔之家慈善基金资助，与北京儿童医院共同合作的爱心公益项目。这也是中国内地第三所麦当劳叔叔之家。 北京这所麦当劳叔叔之家离北京儿童医院非常近，共有10间家庭客房，每间客房都有独立的卫生间、亲子床、阅读书桌等。综合功能区包含厨房、洗衣房、游乐区、用餐区等便捷设施供各家庭使用。在北京儿童医院看病的贫困病人就可以提出入住申请。,5,https://mandarinbean.com/beijing-uncle-mcdonalds-house/
只有354天的牛年,Only 354 days in the Year of the Ox,2021年大年初一以后就进入了中国的牛年，不过今年的牛年和以往不同，只有354天。 原来，中国农历根据月相的变化周期来确定日期和月份，又根据二十四节气来确定一年的长度。由于12个农历月的天数不够二十四节气的长度，13个月又超过了，因此会采用适时增加闰月的办法来调节里面的矛盾。有闰月的年份称为农历闰年，有13个月，没有的则称为农历平年，只有12个月。因此，2021年牛年仅有254天，从2021年2月12日开始到2022年1月31日结束。而12年后的牛年将迎来农历闰年，也就是说2033年时全年将有384天。 中国的生肖起源与古代的动物崇拜有关。十二生肖是按人的不同出生年份配以十二种不同的动物，包括鼠、牛、虎、兔、龙、蛇、马、羊、猴、鸡、狗、猪。每当进入农历大年初一时，就开始一个新的生肖年份。如果今年是你的生肖年份，则称为“本命年”。每一种生肖都有丰富的传说和文化习俗。,6,https://mandarinbean.com/only-354-days-in-the-year-of-the-ox/
拼多多员工猝死,Pinduoduo employee died suddenly,近日，拼多多的一名22岁员工在凌晨1点多下班以后，在回家途中猝死。之后拼多多官方账号回应：”你们看看底层的人民，哪一个不是用命换钱……这是一个用命拼的时代，你可以选择安逸的日子，但你就要选择安逸带来的后果……”这一不近人情的回应尽管很快被删除，还是引起了众多的指责和愤怒。  拼多多是近年来快速发展崛起的一家电子商务公司，它在几年时间内就依靠低价和折扣获得了大量中低收入者的支持，并于2020年在纳斯达克上市，成为中国第二大电子商务平台。虽然拼多多的工资比很多同行更高，但除了工作时间长，还对员工有很多严格的管理。此次事件引起了大规模的互联网关注和讨论，因为很多科技公司普遍存在996的工作制度和加班文化。  《劳动法》对于每天的工作时间等都有具体的规定，但是每个公司都有自己的借口，比如员工没有完成工作任务或者自愿加班等。其中，技术和产品是加班最严重的两大行业。很多大公司的老板，比如阿里巴巴的马云，小米的雷军等，都对加班文化给过肯定和支持。,5,https://mandarinbean.com/pinduoduo-employee-died-suddenly/
Clubhouse的爆红,Clubhouse’s popularity,2021年刚开始就出现了一款风靡全球的新应用Clubhouse。这是一个集语音聊天、线上派对、网络座谈会等以语音互动为核心的社交媒体软件。使用者可以在上面收听不同的人根据不同话题展开的谈话、采访和讨论。 这并不是第一款语音社交软件，那是什么导致了它的爆红呢？其中一个原因是它不是来者不拒的，而是像一个私密俱乐部一样，需要收到邀请才能加入，更像是一个虚拟空间的精英俱乐部。 加入之后，你可以选择你感兴趣的任何话题：政治、科技、阅读、商务、健康、饮食、教育、养老……你提供的感兴趣的话题越多，就会推荐给你更多聊天室和个人供你参考和加入。里面的聊天室就像一个电话会议，少数人主讲，大多数人听，如果不想听则可以悄悄离开。一旦结束，聊天室就会关闭，音频也会消失，这个功能则满足了用户的私密需求。 那么如何才能获得邀请呢？只有已经成为用户的使用者才能发出邀请，并且每人只有两个邀请的机会。Clubhouse的开发者表示将会努力尽快向全世界开放。,6,https://mandarinbean.com/clubhouses-popularity/
静音车厢,Silent carriage,2021年春运已经开始了，今年乘客们不但多了不少新的出行路线可以选择，还可以享受到新的服务，比如静音车厢。如果你希望在旅行途中安静休息不被打扰，那这个静音车厢就能实现你的愿望。 据铁路部门介绍，旅客通过铁路12306网站、手机APP、自动售票机等渠道购买指定车次车票时，如果需要提供静音车厢服务，可根据系统提示自愿选择购买静音车厢车票。不过需要注意的是，旅客在乘坐静音车厢时，需要配合遵守静音约定：在车厢内保持安静；使用各类电子设备时戴耳机或者关闭外放功能；将手机调至静音或震动状态；在接打电话或相互交谈时离开静音车厢；带儿童的旅客需要照看好自己的孩子，避免喧哗。,5,https://mandarinbean.com/silent-carriage/
健身卡冷静期,Fitness card cooling-off period,很多人都有因为一时冲动办了大额健身卡会员身份，但是后来却因为种种原因没有使用过几次的经历。这种预付费类的消费总有退卡难，退费难的问题。最近上海市发布了一个新规定，如果办理健身卡，会员在办卡后将有七天冷静期，也就是说消费者在签署合同之后的七天内，如果未使用会员服务，就可以单方面解除合同并且获得全额退款。规定对于退费细节，余额计算，退费期限等都做了明确设定。这样做考虑到了因为商家过度营销而导致的冲动消费，也平衡了商家和消费者的利益。,6,https://mandarinbean.com/fitness-card-cooling-off-period/
无法预知的人生,Unpredictable life,人的一生，就像乘坐一辆公交车。我们知道它有起点和终点，却无法预知沿途的经历。有的人行程长，有的人行程短。有的人很从容，可以欣赏窗外的景色。有的人很窘迫，总处于拥挤之中。要想获得舒适与优雅，需要好的心情。 有的人很幸运，一上车就有座。有的人很倒霉，即使全车的人都坐下了，他还站着。有时别处的座位不断空出来，唯独身边这个毫无动静。而当他下定决心走向别处，刚才那个座位的人却正好离开。有的人用了种种的方式，经历了长长的等待，终于可以坐下，但这时他已经到站了。,5,https://mandarinbean.com/unpredictable-life/
悬空寺,The Hanging Temple,,6,https://mandarinbean.com/the-hanging-temple/
汽车影院重生,The rebirth of car theaters,因为新冠肺炎疫情的原因，世界各地的电影院都关门了，美国也不例外。2020年最受期待的大片推迟上映。但这不意味着去电影院看电影是不可能的事。美国各地的汽车影院不但继续营业，而且收入大幅增长，因为消费者迫切需要既能出门娱乐又不违反社交隔离规定的方法。 今年夏天的大部分时间电影院可能会一直关门，很多大制片厂考虑在汽车影院上映他们备受期待的暑期大片。新冠肺炎疫情给全球经济带来了很多不确定性，电影业的未来目前也是未知数。但有一件事可以肯定，尤其是在这样前所未有的艰难时刻，人们渴望以任何方式再次享受一起在电影院看大屏幕电影的那种非凡体验。,5,https://mandarinbean.com/the-rebirth-of-car-theaters/
电影《花木兰》在中国的失败,The failure of the movie “Mulan” in China,迪士尼对耗资2亿美元的真人翻拍版《花木兰》寄予厚望，希望这是一部终于能在世界第二大电影市场中国的电影观众中引起文化共鸣的大片。 但电影上映后，中国电影观众却抱怨连天。 他们极力试图迎合中国，却又未能弄清历史事实。他们将木兰过度西方化，然而又落入西方眼里的东方刻板印象，基本是东方元素的大杂烩。他们请来了有名的华裔演员，却让他们说英语台词，在中国背景中也让人感觉错位。电影中很多细节也不符合历史传说，让很多观众不满。 尽管1500年前的诗歌《木兰辞》在历史上被不断演绎改编，但花木兰依然是中国文化想象中的中心人物，她是中国早期民族主义和女性主义的英雄。在中国，花木兰是所有人都知道的故事，所以如果改编的电影只是对中国或者中国文化的想象，那么这是中国观众无法接受的。,6,https://mandarinbean.com/the-failure-of-the-movie-mulan-in-china/
中国将进入老龄社会,China will enter the elder age society,中国在2000年迈入老龄化社会以后，老龄化的程度持续加深。到2022年左右，中国65岁以上的人口将占总人口的14%，由老龄化社会转变为老龄社会。 高龄化是中国人口老龄化的一个重要特征。报告测算，2020年中国65岁及以上的老年人约有1.8亿；2050年时，中国65岁及以上的老年人将达到3.8亿，占总人口比例的27.9%。如果将60岁及以上的年龄作为老年人口的标准，中国的老年人口数量将会更多，到2050年时将有接近5亿老年人。 面对这个问题，中国有很多制度需要重新设计，比如需要规范退休年龄，提高法定退休年龄，实行弹性退休制度，实施退休申请制度，完善退休人员待遇机制等。,5,https://mandarinbean.com/china-will-enter-the-elder-age-society/
中国古代的重要发明,Important inventions in ancient China,,6,https://mandarinbean.com/important-inventions-in-ancient-china/
拖延症,Procrastination,明明有工作需要做，但总是先做其他无关紧要的小事，一直拖延。这样的情况可能大多数人都碰见过，但这到底是为什么？我们为什么知道工作的时间已经不够了，还是一直拖延，不能控制自己？ 心理学家认为，可能是你的时间管理有问题，对于这项工作需要多长时间没有清楚的认识，也没有严格控制浪费在其他事情上的时间。 但是最近有一个新理论认为，拖延症不是时间管理的问题，而是情绪调节的问题。经常拖延的人在情绪不好的情况下，更容易选择拖延来逃避。越容易拖延的人，心理灵活度越低。心理灵活度是指一个人容忍不舒服的思想和心情的能力。容易拖延的人更容易被挫败、担心等心理反应控制。 事实上，为了逃避现在的情绪而选择不完成任务的逃避行为，反而会让我们陷入拖延的恶性循环。因为拖延重要的任务会让我们感到焦虑和愧疚，这样我们就更容易变得效率低下，问题越来越多。怎么解决这个问题呢？第一步就是原谅、接纳和理解自己。也可以尝试着减少身边会分散注意力的东西，减少诱惑。做的时候，从最容易的开始，让自己慢慢进入状态，后面的任务将会更容易。,5,https://mandarinbean.com/procrastination/
唐五代建筑基址首次对外开放,The Tang Dynasty and the Five Dynasties Construction Site Opened to Public,6月13日是山西省太原市的文化和自然遗产日，这一天也是有2500年历史的晋阳古城遗址二号建筑基址首次对外开放。来自当地的文物爱好者、专家等一起站在遗址之上触摸历史。该遗址发掘面积约7000余平方米，这是目前中国国内发掘出土面积最大，保存最完整的唐五代建筑基址，对研究那时候的建筑布局和技术工艺有重要价值。 基址上有保护大棚，可以让民众透过围栏近距离观看考古发掘现场和文物出土场景，再加上出土文物陈列、图文介绍、声光电等视觉效果，使文物活了起来。,6,https://mandarinbean.com/the-tang-dynasty-and-the-five-dynasties-construction-site-opened-to-public/
风味人间,Once Upon a Bite,你看过《舌尖上的中国》吗？如果你喜欢，那你一定要看《风味人间》。这两个纪录片的总导演都是一个叫陈晓卿的美食家。他的美食纪录片全都得到了广大观众的好评。最近《风味人间》第二季也开播了，你想看吗？ 风味是什么？导演陈晓卿说：严格地说，风味是指对食物味觉、嗅觉、触觉感受的总和；文艺地说，风味更像一个谜团，它给我们带来极大的欢乐，也让我们对这个世界充满好奇。 《风味人间》第二季节目一共八集，分别展现不同文明在饮食文化上的差异。节目组探访了全球25个国家和地区，拍摄了超过300种不同的美食，试图寻找出各个美食之间的联系。这一季节目还加入了很多新的技术手段，加入了显微摄影，希望通过技术让大家看到不同风味背后的秘密。,5,https://mandarinbean.com/once-upon-a-bite/
火爆的电商直播,The roaring e-commerce live broadcast,2020年第一季度中国的电子商务直播超过了400万场，“买它买它买它”也成为网络热词。 什么是电商直播？它是指通过一些网络平台，使用直播技术进行近距离商品展示、咨询、导购等新型服务方式。有的是商店自己在网上开直播间，有的是职业主播集合很多产品一起介绍。2019年以来，边看直播边购物，已经成为很多消费者的新选择。 为什么网络直播购物那么火爆呢？很多消费者表示，最重要的因素是价格，直播中展示的商品价格经常是全网最低。通过直播，也可以更直观地了解产品的样式、用途和使用方式。很多主播在介绍产品的时候，也会把产品的优点和缺点都告诉大家。当然网络支付和物流的方便也是必不可少的原因。,5,https://mandarinbean.com/the-roaring-e-commerce-live-broadcast/
新型冠状病毒,Novel Coronavirus,2020年，新型冠状病毒开始在世界各地爆发，从中国的武汉，到其他国家和地区，这个病毒对大家的生活有很大影响。 什么是冠状病毒？这种病毒是指可以同时感染人和动物的病毒，可能导致感冒，严重的会成为肺炎。冠状病毒的传播通常是通过咳嗽和打喷嚏，接触感染者或者受感染的物品，也可能通过五官传播。 所以大家应该遵守以下基本卫生习惯。例如尽量远离人群，勤洗手，保持身体健康。咳嗽时用纸巾遮住口鼻，生病时在家隔离。如果有严重的状况，比如发烧、呼吸困难，请到医院检查。 目前，冠状病毒的疫苗还没有研制成功，没有具体的治疗方案。病毒传播的影响也在不断变化中。,5,https://mandarinbean.com/novel-coronavirus/
音乐阻碍创造力？,Does music hinder the creativity?,很多人都喜欢一边工作一边听音乐，因为听说音乐有助于创作，可以激发创造力。但是最近一些研究人员的新发现和这种说法正好相反，音乐实际上阻碍了创造力。 研究人员让参与者在安静的房间里完成一些问题，然后又让他们在播放背景音乐的情况下再做一次。结果发现，背景音乐的存在显著地削弱了参与者完成与语言创造力有关的任务的能力。研究人员也测试了背景噪音的影响，但发现这些噪音对参与者的创造力没有影响。 值得一提的是，无论音乐内容是什么，即使参与者熟知歌词，音乐也会削弱创造力，因为音乐干扰了大脑的语言工作记忆过程。而类似于图书馆的背景噪音似乎没有影响，这是因为这种噪音创造了一个稳定状态的环境，不会干扰注意力。,5,https://mandarinbean.com/does-music-hinder-the-creativity/
中国大陆总人口突破14亿,Mainland China’s total population exceeds 1.4 billion,中国国家统计局发布2019年经济年报，报告显示，2019年末，中国大陆总人口突破14亿人，比上年末增长457万人。2019年全年出生人口为1465万，人口出生率为10.48%。 这个数据和2018年相比，2019年全年的人口出生数量减少了58万。现在总和生育率已经低于1.5，这是很低的生育水平。按照这个趋势，人口负增长极有可能在2025年左右出现，未来老龄化问题将会加剧。虽然中国大陆现在已经实施两孩政策，但是从效果看，生育率不会大幅提高。 与持续减少的出生人口相应的是高速老龄化，这是未来发展的极大挑战。专家表示，国家应该尽快出台新的人口政策来应对老龄化程度的加剧。,5,https://mandarinbean.com/mainland-chinas-total-population-exceeds-1-4-billion/
人造甜味剂,Artificial sweetener,人们越来越了解糖对身体的伤害，所以现在很多食物中都用人造甜味剂代替了糖。但是最近科学家发现：每天喝两杯以上含糖饮料的人早死的风险比那些很少喝含糖饮料的人高17%。但更加惊恐的是，饮用含人造甜味剂饮料的人早死的风险更高。人造甜味剂可能使心脏病风险增加40%。人造甜味剂骗了我们！我们以为它们比糖更有利于健康，但它们可能和糖一样，甚至更糟。 反对人造甜味剂的呼声日益增高。直到现在我们才知道人造甜味剂会对人体肠道中的100万亿种细菌造成极大伤害，还会长出与肥胖症和糖尿病相关的细菌，而这些细菌对我们的健康至关重要。,5,https://mandarinbean.com/artificial-sweetener/
对牛弹琴,Play music to a cow,古时候有个音乐家，名字叫公明仪。他擅长音乐，琴声非常美，人们听到他的琴声都很享受。 有一年春天，他带着琴来到城外散步，天气和环境都很好。他发现在不远的地方有一头牛在吃草，突然想为这头牛演奏音乐，于是他弹了一首非常高雅的曲子。虽然他的音乐非常好听，但是牛却根本不理他，继续低头吃草。公明仪发现好听的音乐不能打动这头牛，就开始弹一些奇怪的声音，有的像小虫，有的像小牛。这时候这头牛好像听明白了，认真听起来。 后来人们用“对牛弹琴”这个成语形容对愚蠢的人讲深刻的道理，或者是对外行人说内行话，都是白白浪费时间，也用来嘲笑说话不看对象的人。,5,https://mandarinbean.com/play-music-to-a-cow/
2020年奥运会延期,2020 Olympic Games postponed,3月24日，国际奥委会和东京奥组委发布消息，原定于2020年在东京举行的第32届奥运会将被延期至2021年夏天，但是奥运会的名称仍然是“东京2020年奥运会和残奥会”。 新型冠状病毒的蔓延扰乱了全世界的脚步。目前，一些企业已经暂停了奥运会相关的营销活动。奥运会的推迟造成的直接经济损失约为60亿美元，与奥运相关的各种行业和公司都会遭受严重损失。 日本曾在1964年举办过一届东京奥运会，那次奥运会给东京带来经济的飞速发展，所以日本政府为这次奥运会做了巨大的经济投入和努力，希望这一次成功的奥运会也可以为经济下行的日本带来改变。,6,https://mandarinbean.com/2020-olympic-games-postponed/
捐口罩,Donate masks,2020年1月春节前夕，因为爆发了新型冠状病毒感染的肺炎，很多人受到感染，再加上大多数的工厂已经放假，中国很多地方出现了缺乏医用口罩等医疗物资的情况。但在这样的情况下，还是有很多感人的事情出现。在湖南常德，一个叫郝进的村民一次性捐出了一万八千只医用防护口罩。原来，他去年曾在一家口罩厂打工，但是工厂效益不好，他就辞职了。当时工厂没有钱，只能给他价值两万元的口罩当做他的工资。这次疫情爆发以后，他就找出这批口罩捐了出去。当地政府提出购买他的口罩，很多网友因为感动也想给他钱，但是他都拒绝了，坚持自己捐，不要钱。,6,https://mandarinbean.com/donate-masks/
美股熔断,The U.S. stocks triggering a circuit breaker,2020年是见证历史的一年。三月开始，美股在十天内连续四次下跌7%，触发熔断，暂停交易15分钟。这几天，美股乃至全球股市都在暴跌。美国政府推出了一万亿美元经济刺激计划，以缓解新型冠状病毒疫情对于美国经济的影响。很多人担心这会让经济走向衰退。而在全球化的趋势下，这不仅是美国的经济问题，而是全球各国的经济问题。市场普遍认为，只有更多的财政刺激措施出台且疫情停止恶化时，股市才会触底。其中，疫情好转是核心因素。这也需要各国政府积极应对。,6,https://mandarinbean.com/the-u-s-stocks-triggering-a-circuit-breaker/
